#,Title,Track name,Abstract,Similarity rating (0-100),Similarity checked (date),Similarity checker,Page number for attendee proceedings,Authors with affiliation and country
1571039578,A Novel Method of Generating Complex Sine Wave in Automative Sensing Application,Track 09 Sensors Interfaces and Sensors Analytics,"Machine learning has advanced rapidly, specifically in the application of automotive sensing[1]. One of the significant challenges in this area is to accurately estimate the range and direction of targets while using FMCW radars in moving vehicles. To address this challenge, it is necessary to compute the gold-Fourier
Kaluri (gFK) method efficiently. We propose a novel method for generating complex sine waves using a 2nd order auto-regressive model, which requires just two multiplications and two additions. These sine waves are used to evaluate the gFK objective function at any given frequency and to scale the peak. Our lean computational method achieves the goal of implementing simple controllers, and we also compare it with conventional computation to report on our findings.",13,8/31/24 18:56,ithenticate,,"Kaluri V Rangarao (University of Hyderabad, USA & Hyderabad, India); Atul Negi (University of Hyderabad, India)"
1571041666,Optimized Simulation and Performance Assessment of MEMS Piezoresistive Sensors With PDMS-MXene Hybrid Materials for Health Monitoring Applications,Track 11 Other Novel Applications,"This article present a pioneering investigation into MEMS piezoresistive pressure sensors, introducing a novel PDMS-MXene material combination paired with a rectangular cantilever design. Through meticulous simulations using Intellisuite software, we reveal that larger rectangular membranes exhibit superior displacement, especially demonstrating optimal sensitivity within the 0.05 to 0.5MPa pressure range. This work identifies that MEMS sensors with a 225μm rectangular cantilever length achieve optimal deflection, surpassing structural constraints. Additionally, under a 0.5 MPa pressure load, rectangular membranes of 14,000 μm² and 80,000 μm² experience displacements of 9.27532E-5 μm and 1.08422E-4 μm, respectively, emphasizing the influence of membrane size on responsiveness. Mises stress analysis shows smaller membranes endure less stress, with values of 3.68253 and 9.97738 for smaller and larger membranes, respectively. Current density analysis at 0.5 V reveals significantly higher values for larger membranes, indicating their enhanced electrical conductivity. These findings underscore the transformative potential of innovative material combinations and geometric designs in advancing sensor technology across various engineering sectors. The device's high sensitivity makes it highly applicable for health monitoring applications.",2,8/31/24 18:56,ithenticate,,"Sonam Kumari (Vellore Institute of Technology, India)"
1571051557,Non-Enzymatic Glucose Detection of Salivary Glucose Range Using ZnO- MoS2 Nanocomposite Heterostructure,Track 03 Medical and Digital Healthcare,"Diabetic mellitus is one of the most happening diseases
in our society and people needs to control the glucose
level, to keep their diabetic level within control.
Normally, glucose level is measured by blood but now
a day more emphasis is being given on non-invasive
glucose monitoring techniques. This paper presents, a
nonenzymatic approach to detect the salivary glucose
levels, as a noninvasive technique of Diabetes Mellitus
monitoring. Salivary glucose range was tested using
fabricated electrode platform. Microelectrodes were
realized on silicon wafers. Accordingly, with this
system, ZnO-MoS2 composite nanoparticle
heterostructure were synthesized, as the sensing layer to
utilize their unique catalytic property, to oxidize salivary
glucose non-enzymatically.",4,8/31/24 18:56,ithenticate,,"Debasish Panda (IIT JODHPUR, India); Poushali Nandi (IIT JODHPUR); Sarvar Singh and Ajay Agarwal (IIT Jodhpur, India)"
1571052208,Implementation of Decision Tree Algorithm to Detect Human Stress,"Track 07 IoT, Wearables and Immersive Technologies","Stress is the physiological and psychological reaction of the body to demands or pressures from outside sources. Stress can interfere with sleep, making it harder to sleep or stay asleep. On the other hand, insufficient sleep can make people more stressed, leading to a vicious cycle of stress and sleeplessness. Stress management and the adoption of restful sleeping practices are crucial for general well-being. Current stress detection models mainly focus on in- person interactions. These models have limitations such as narrow in scope and rely heavily on face-to- face or online interactions, which can lead to subjective interpretations and privacy issues. Additionally, they lack in crucial physiological signals of stress, cannot predict future stress patterns, and may not offer timely interventions. This paper presents a novel framework for stress detectionduring sleep, leveraging parameters such as snoring range, respiration rate, body temperature, limb movement rate, blood oxygen levels, eye movement, and heart rate. These parameters are collected from various wearables and fitness trackers that are used in day-to-day life. The proposed system employs a Decision Tree algorithm, to examine data related to sleep patterns. Using this algorithm, the system can predict the levels of stress individuals may experience based on sensor data. This approach is more comprehensive for detecting and managing stress. The existingmethods are based on communication (such as text analysis), proved an accuracy of 60%. Whereas the machine learning model for stress detection proposed in this project has an accuracy of 97%.
I.Introduction

This paper focuses on implementing a decision tree algorithm to detect stress during sleep using parameters such as snoring range, respiration rate, and heart rate. By analyzing physiological signals [10] during sleep, the system aims to predict stress levels for the next day, providing insights into stress management[3]. The project addresses the critical connection between stressed and sleep[5], leveraging machine learning techniques to improve stress detection and promote better overall well- being.",18,8/31/24 18:56,ithenticate,,"Sony Devalapally (Chaitanya Bharathi Institute of Technology, India)"
1571053889,Utilization of Energy Efficient Clustering Protocol for Smart City Application,Track 08 Smart Cities and Villages,"The fast growth of intelligent urban areas necessitates the effective administration of resources and infrastructure. The implementation of wireless sensor networks (WSNs) for a range of uses, including energy distribution, traffic control, and environmental monitoring, is one of the crucial elements. In order to improve the lifespan and performance of WSNs in smart city applications, this research investigates the use of energy-efficient clustering methods. We evaluate the effectiveness of the Adaptive Threshold Residual Energy Efficient Clustering Protocol (ATREEN) against k-means clustering using measures like energy usage and the number of active nodes over time. Our findings show that ATREEN works better than the K-means clustering approach. The particular needs and limitations of the smart city environment determine which protocol is best.",33,8/31/24 18:56,ithenticate,,"Tushar Mote and Sonal Kirankumar Jagtap (University of Pune, India)"
1571056838,Smart Sensor Network Empowered Adventure Park,Track 05 Environment and Infrastructure Monitoring,"This paper  explores and integrates various sensors and Internet of Things technology within a park environment for the empowerment of environmental and weather monitoring, efficient lighting, security, and surveillance monitoring. This empowerment is incorporated with sensors to monitor things like air quality, temperature, water level, and even foot traffic to optimize the park's functionality and enhance the visitor experience. Microprocessor-based Arduino, ESP32, and ESP8266 controllers are the key processing units of the sensor network. The internet of things technology enhances efficiency, reduces costs, improves decision-making, and enhances the quality of life in the park. The IoT platform allows users to collect, analyze, and visualize data from IoT devices and sensors in real-time and pass it to the cloud. A mobile application often allows users to monitor the information passing by IoT platform via the cloud. By building digital platforms into Smart Park, planning events and engaging with visitors becomes much easier in a secured environment. In addition, the design of Adventure Park focuses on developing environmental preservation with green technology like solar-powered lights and water conservation. This makes the park sustainable and sets an example for environmentally conscious urban development. The prototype model is created and provided for validation.",15,8/31/24 18:56,ithenticate,,"Muthukumar Paramasivan (Saveetha School of Engineering, India & SIMATS Engineering, India)"
1571059431,NanoMediTrack: AI-Enhanced System for Dynamic Digestive Health Monitoring,Track 03 Medical and Digital Healthcare,"This project aims to develop a novel healthcare solution utilizing advanced nano sensor technology, AI, and ML algorithms for comprehensive monitoring of digestive health and medication adherence. The proposed system includes a digestible nano sensor embedded in medication, capable of transmitting real-time data on internal pH levels, temperature, and gastric secretions to a wearable patch. The patch communicates this data wirelessly to a mobile device via Bluetooth or LoRA, enabling continuous monitoring and feedback to the user while implementing blockchain framework for information security. AI and ML algorithms analyze the collected data to provide personalized insights, predictive modeling for health outcomes, and decision support for medication adherence. This innovative approach not only enhances diagnostic capabilities through non-invasive endoscopy but also promotes timely and accurate medication intake, ultimately improving patient care and health outcomes.",19,8/31/24 18:56,ithenticate,,"Sakinam Shivani, Harshith Madhavaram and Keerthi Sree Rudra (CVR College of Engineering, India)"
1571059432,"Adaptive Brain Tumor Treatment Using Machine Learning, Electromagnetic Fields, and Real-Time Sensor Feedback",Track 03 Medical and Digital Healthcare,"learning techniques to suggest an adaptive brain tumour therapy. The suggested method is a multi-step procedure which starts with the analysis of brain CT scans by machine learning algorithms to precisely pinpoint tumours, and then uses convolutional neural networks for fine delineation. Further, collects real-time data from sensors-such as chemical fibrosensors, electrochemical sensors, non-invasive blood gas monitors, and blood glucose sensors-is used to optimise the administration of targeted electromagnetic field therapy. Based on sensor input, reinforcement learning algorithms dynamically modify EMF parameters to provide individualised and efficient care.",2,8/31/24 18:56,ithenticate,,"Harshith Madhavaram, Sakinam Shivani, Shiva Shreya Deepika Chinni and Vaishnavi Akkiraju (CVR College of Engineering, India)"
1571059897,Simulation Study Comparing Two Passive Micro-Mixture Designs for the Enrichment of Mixing Efficiencies at Lower Flow Rates Applied in Lab-On-a-Chip Devices,Track 03 Medical and Digital Healthcare,"The objective of this study is to evaluate and compare the output efficiency of two micro-mixtures based on the inlet flow rate, diffusion coefficient, and device design. The micro-mixtures were designed in the 2-dimensional platform of Multiphysics software. The inlet flow rate was considered as 1µL/min, 5 µL/min, and 10 µL/min respectively, and the diffusion coefficient was considered as 15.3 X 10-10 m2/s. Based on these input parameters the output parameters like velocity profile, pressure profile, and resultant concentration after mixing were computed using stationary study.  The mixing efficiency for both designs was then calculated from the output results. It is seen that the design having constricted pillars at different locations across the device has higher mixing efficiency compared to its similar counterparts without pillars.    This low flow rate passive micro-mixtures with high mixing efficiencies are useful for accurate control and observation of reaction dynamics in biological and chemical studies for ""lab-on-a-chip"" applications.",23,8/31/24 18:56,ithenticate,,"Deborshi Chakraborty (Jadavpur University, India)"
1571061241,A Gamified System for Remote Non-Invasive Patient Respiratory Monitoring and Pulmonary Rehabilitation,Track 03 Medical and Digital Healthcare,We propose a noninvasive home-based pulmonary rehabilitation system with quantified outcomes to sense and adjust the therapy levels based on patient conditions in a game-based spirometry platform so that the recovery is faster and efficient with an excellent prognosis. This platform is meant for patients with moderate to very severe chronic respiratory diseases.  We report the development of a digital differential pressure sensor spirometer with quantified outputs and interface its output to a gamified platform. The game creates an engaging therapy to improve respiratory conditions with quantified outcomes while being monitored remotely by a physician who could monitor adherence and progress and adjust the therapy levels for faster recovery with excellent prognosis. We expect that this device will be a potential tool in active pulmonary rehabilitation in clinics.,8,8/31/24 18:56,ithenticate,,"Sriya Vaitheeswaran (Sastra Deemed University, India); Vidya Gopal T V (Indian Institute of Technology, Hyderabad, India); Ranganadh Kollapureddi (Foundation for CfHE, India); Renu John (Indian Institute of Technology, India)"
