reviewer_name,title,abstract,remark
manuscripts-papers,Graphite Electrode Based Bipolar Electrode Electrochemiluminescence Portable Platform for Point -of-,"Abstract— Electrochemiluminescence (ECL) plays a pivotal 
role in advancing Point-of-Care-Testing (PoCT) technologies. 
Traditional lab-based testing, while effective, are often 
expensive, time-consuming, require large clinical samples, and 
depend on trained personnel for operation. This study presents 
an innovative, cost-efficient, and user-friendly approach using a 
graphite pencil-based bipolar electrode BPE-ECL system for 
the detection of hydrogen peroxide (H₂O₂) concentrations. The 
8B graphite pencil, chosen for its superior electrochemical 
properties and affordability, serves as an alternative to 
conventional screen-printed electrodes. A portable, 3D-printed 
platform integrated with a smartphone captures ECL signals, 
with a specialized software analyzing signal intensity to 
determine H₂O₂ concentrations. The system was validated for 
different H₂O₂ concentrations, demonstrating linearity between 
0.01 mM and 1 mM with limit of detection of 9µM. Repeatability 
analysis confirmed the device’s long-term reliability. This low-
cost, rapidly assembled, and compact system offers promising 
applications 
in 
biomedical 
diagnostics, 
environmental 
monitoring, and PoCT, presenting a valuable alternative to 
existing sensor technologies.",
manuscripts-papers,Graphene-AuNP electrodes for wearable gel-free EEG and health monitoring in wearable glasses Tushar ,"Abstract—Development of wearable EEG systems hinge upon
usage of dry electrodes for long-term usage without loss of
connectivity or increase in impedance leading to loss of signal
quality. Furthermore, the form factor of these electrodes should
be small and easily formable to integrate with wearable devices
for smooth and subtle monitoring of biosignals. In this paper we
present a wearable system consisting of polyimide based EEG
electrodes with auxillary monitoring sensors which will be able
to provide a holistic approach to health management. In this
paper, we demonstrate that deposition of gold nanoparticiles on
graphene substrate leads to enhanced EEG monitoring. It also
leads to reduced impedance compared to commercially available
electrodes. The EEG electrodes were integrated into glasses with
sensors for wearable EEG monitoring with position sensing, PPG
recording and camera module for monitoring attention span.
The validation results and performance metrics related to the
platform are presented. This platform can potentially enable
seamless monitoring of frontal lobe and related biomarkers in a
single integrated system.",
manuscripts-papers,Adaptive Prediction of Pests and Diseases in Tomato With Granular Ambient and Field Sensing Vidit Pa,"Abstract—Prevalence of multiple pests and diseases in the
cultivation of tomato pose a significant threat to crop yield and
quality. Early prediction and detection are critical to mitigating
these risks. Yet, traditional methods often lack the precision
and adaptiveness necessary for timely interventions. In this
study, we explore how granular ambient and field-level sensing
could be used for the effective prediction of tomato pests and
diseases. We collect and analyze micro-climate conditions such
as temperature, humidity, wind speed, and sunshine hours,
along with field-specific variables associated with crop and pest
incidents from the stress hotspot with mobile sensing. For this
study, we have taken a tomato belt from a district in Tamil
Nadu as our region of interest where the forecasting objective is
supported by automated detection of reported conditions. This
fusion of data not only allows for refined learning of micro-
climatic factors influencing pest and disease outbreak but also
provides the ability to adapt to rapid changes in infestation
trends. With Early Blight disease in tomato, as an example,
we evaluate various frameworks to develop the proposed model
and present the results with a comparative view illustrating its
benefts over earlier work.",
manuscripts-papers,"Wireless , reconfigurable electrochemical measurement platform for wearable applications Liudmila Kh","Abstract— Wearable devices have become transformative tools 
in healthcare and fitness, providing valuable insights into an 
individual’s 
health 
and 
fitness. 
Recent 
advances 
in 
electrochemical front-end integrated circuits have expanded 
the 
horizons 
for 
wearable 
technology, 
enabling 
the 
incorporation of electrochemical testing in small, power 
efficient 
wearables 
devices. 
This 
paper 
presents 
a 
reconfigurable platform tailored for use in a wearable context, 
offering a versatile transducer interface and electronic 
configuration suitable for a diverse range of analytes and 
applications. 
The 
platform 
is 
based 
on 
a 
custom 
electrochemical shield with two analog front-end integrated 
circuits (AD5941), miniaturized IoT board (XIAO ESP32C3) 
and optional I2C extension boards for physiological 
measurements. Future endeavors will focus on enhancing 
accuracy and integration into clothing.",
manuscripts-papers,"Himanshi Academy of Scientific and Innovative Research (AcSIR), Ghaziabad - 201002, India Biomeduca ","Abstract— This study investigates how individuals' cognitive 
load is assessed while they are standing up using multimodal 
cognitive assessments that incorporate audio-visual signals. 
Conventional cognitive tests, including the MMSE and MoCA, 
frequently overlook how posture and sensory integration affect 
cognitive function. The goal of this research is to provide a more 
thorough knowledge of cognitive load under more realistic 
situations by adding real-time audio-visual inputs to operate. 
Participants completed cognitive activities while standing, with 
cognitive load evaluated using the NASA Task Load Index (NASA-
TLX). The findings indicate that differences in cognitive load that 
might not be detected by conventional techniques are revealed 
when audio-visual stimuli are integrated into standing cognitive 
evaluations. This study provides a novel method for evaluating 
cognitive performance and emphasizes the importance of position 
and sensory information in cognitive evaluation.",
manuscripts-papers,Maximising Corn Productivity with Sustainable Practices through Pervasive Sensing and Farm Digital T,"Abstract— Corn is a versatile crop of global signiﬁcance that
forms a critical component of food systems for both human
and animal consumption. Among the corn varieties, hybrids
stand out due to improved genetics and disease resistance which
results in better yields and resilience. Conventional practices are
environmentally unfriendly due to adoption of inorganic practices
that lead to GHG (greenhouse gas) emissions which increase
the GWP (global warming potential). With a combination of
pervasive farm sensing and calibrated sustainable practices, one
can model the crop progression and its environment during a
season to maximise farm productivity while enriching the soil
and limiting GWP overheads to align with global sustainability
goals. For the 2022-23 Rabi season in India, we present a study
for a hybrid corn variety grown in an open farm that involved a
variety of sensing modalities: (a) soil sensing to ascertain ﬁeld
nutrient conditions, (b) micro-climate sensing of the farm for
corn-growth conduciveness, and (c) mobile participatory sensing
to monitor the crop stresses. A combination of AI and process-
based models as part of a digital twin of the farm were used
to consume the sensor data to continuously generate insights on
productivity measures such as crop yield and carbon footprint.
This allowed the organic sustainable practices for the farm to
be calibrated to suit speciﬁc needs that maximised productivity
as illustrated with the comparison presented against conventional
practices. Through this case-study, we show how pervasive multi-
modal sensing can play a pivotal role in promoting sustainable
precision agriculture in general and cultivation of corn hybrids
in particular.",
manuscripts-papers,Printed Microheater on Textile Thread for Moisture Measurements Manoj Jose 1 Silicon Austria Labs (S,"Abstract— This work demonstrates the feasibility of screen 
printing a moisture sensing element on a thread. The possibility of 
micropattern conducting electrodes and resistive elements allowed 
for fabricating a microheater on threads. The microheater has been 
applied for moisture sensing exploiting transient thermal 
measurements. Such sensor threads could enable unobtrusive 
moisture monitoring in textiles that could be used in wearable 
applications like fitness clothing or wound dressings.",
manuscripts-papers,Flexible Sensors for Acoustic Applications Based on MWCNTs Decorated with ZnO Nanoparticles Suresh N,"Abstract— This work demonstrates novel flexible 
sensors for acoustic applications. The sensors have 
been fabricated using zinc oxide (ZnO) and multi-
walled carbon nanotubes (MWCNTs) composite. 
These 
nanocomposites 
exhibit 
excellent 
piezoelectric properties, making them highly 
responsive to vibrations and acoustic signals. As a 
proof of concept, the prototypes were tested with 
various acoustic signals including white noise, click 
track, and DMTF tone. The experimental data has 
been studied for the sensor’s stability, sensitivity, 
and repeatability. The sensor produced voltage 
responses of approximately 2.5 V for white noise 
and 3.0 V for click track signals, respectively. This 
facile and low-cost fabrication process can yield 
mass production of these piezoelectric sensors for 
acoustic applications.",
manuscripts-papers,Fluorescence Spectroscopy to Detect Edible Oil Adulteration in Milk : A Potential Application in Dai,"Abstract— The present study explored a simple spectroscopy 
study to detect vegetable oil (rice bran oil, and palm oil) in cow 
and buffalo milk. The excitation-emission profile of the milk 
compound and vegetable oils which are used as adulterants 
could be used to ascertain the milk quality. A comparative 
methodology of UV-VIS spectroscopy and fluorescence 
spectroscopy has been done based on their commercial 
feasibility. The method may solve the potential challenge of 
determining organic adulteration at the milk collection point 
which is considered to be the potential commercial loss for the 
entire dairy industry.",
manuscripts-papers,Impact of Mobility on Performance of RDC Protocols in IoT Environment 1stSoumya Vastrad Full-Time Re,"Abstract—To facilitate the usage of internet protocol IPv6 in
IEEE 802.15.4 wireless networks, an adaptation layer 6LoWPAN
is sandwiched between network layer and data link layer. In
protocol stack of 6LoWPAN, data link layer is supported by two
protocols namely MAC and Radio Duty Cycle (RDC) protocols.
MAC protocol takes care of transmission and retransmissions
and RDC protocol will define sleep and wake-up cycles of
nodes. Growing interest in mobile IoT, made us exlore the
RDC protocols in the context of mobility. Since, duty cycle
affects the power efficiency of nodes, it is essential to choose the
efficient RDC protocol to increase the lifetime of the network
in mobile IoT applications. Existing works have focused on
the efficiency of RDC protocol in static scenarios however in
mobile scenarios, the need for an efficient RDC protocol is
enhanced due to the dynamic nature of the network. Since,
node mobility poses many challenges, it is essential to know
the impact of mobility on performance of the RDC protocol
to ensure network reliability and responsiveness. Thus, in this
work we have carried out experiments using Contiki OS/Cooja
simulator to evaluate the performance of different combinations
of MAC and RDC protocols in mobile scenarios with respect
to routing protocol, IPv6 Routing Protocol for Low Power and
Lossy Networks (RPL). Random Way Point mobility model is
used for the evaluation. Bonnmotion tool is used to generate
these mobility traces. CSMA/SicslowMAC, CSMA/CxMAC and
CSMA/ContikiMAC combinations are used for comparison in
the context of IoT environment.",
